Color Rating (e.g. 180ยบ),R,G,B
30,194,155,86
60,242,205,119
230,188,144,81
60,242,205,119
50,224,196,119
200,112,66,26
30,194,155,86
50,224,196,119
230,188,144,81
50,224,196,119
60,242,205,119
230,188,144,81
150,187,122,89
170,210,154,140
120,158,114,92
170,210,154,140
120,158,114,92
100,82,45,20
150,187,122,89
150,187,122,89
150,187,122,89
110,115,76,49
120,158,114,92
100,82,45,20
60,242,205,119
30,194,155,86
30,194,155,86
60,242,205,119
30,194,155,86
260,248,209,154
320,170,139,190
320,170,139,190
340,223,195,222
320,170,139,190
320,170,139,190
290,111,84,109
80,252,246,176
80,252,246,176
50,224,196,119
80,252,246,176
50,224,196,119
10,120,101,60
30,194,155,86
30,194,155,86
30,194,155,86
30,194,155,86
30,194,155,86
30,194,155,86
250,223,203,157
70,244,217,163
70,244,217,163
70,244,217,163
80,252,246,176
10,120,101,60
20,131,98,57
130,178,125,95
20,131,98,57
230,188,144,81
230,188,144,81
200,112,66,26
340,223,195,222
350,249,217,200
310,153,122,130
330,198,169,166
340,223,195,222
100,82,45,20
130,178,125,95
300,154,118,101
150,187,122,89
20,131,98,57
300,154,118,101
220,150,104,46